"word","reference","specifications","excluded_orientation_ties","determinative_aligned_count","pronoun_aligned_count","agreement_count"
"a",1,74,0,74,0,74
"a_certain",1,74,0,74,0,74
"a_few",1,74,0,74,0,74
"a_great_many",1,74,0,74,0,74
"a_little",1,74,0,74,0,74
"all",1,74,0,70,4,70
"another",1,74,0,74,0,74
"any",1,74,0,74,0,74
"anybody",1,74,0,62,12,62
"anyone",1,74,0,62,12,62
"anything",1,74,0,64,10,64
"anywhere",1,74,0,72,2,72
"both",1,74,0,74,0,74
"certain",1,74,0,74,0,74
"each",1,74,0,74,0,74
"either",1,74,0,74,0,74
"enough",1,74,0,70,4,70
"every",1,74,0,74,0,74
"everybody",1,74,0,50,24,50
"everyone",1,74,0,50,24,50
"everything",1,74,0,73,1,73
"everywhere",1,74,0,73,1,73
"few",1,74,0,74,0,74
"fewer",1,74,0,74,0,74
"fewest",1,74,0,74,0,74
"little",1,74,0,74,0,74
"less",1,74,0,74,0,74
"least",1,74,0,74,0,74
"many",1,74,0,74,0,74
"many_a",1,74,0,74,0,74
"more",1,74,0,74,0,74
"most",1,74,0,74,0,74
"much",1,74,0,74,0,74
"neither",1,74,0,74,0,74
"last",1,74,0,66,8,66
"next",1,74,0,66,8,66
"no",1,74,0,74,0,74
"none",1,74,0,74,0,74
"nobody",1,74,0,74,0,74
"no_one",1,74,0,74,0,74
"nothing",1,74,0,74,0,74
"nowhere",1,74,0,74,0,74
"one_det",1,74,0,74,0,74
"two_det",1,74,0,74,0,74
"three_det",1,74,0,74,0,74
"once",1,74,0,74,0,74
"twice",1,74,0,74,0,74
"thrice",1,74,0,74,0,74
"several",1,74,0,74,0,74
"some",1,74,0,74,0,74
"somebody",1,74,0,74,0,74
"someone",1,74,0,74,0,74
"something",1,74,0,74,0,74
"somewhere",1,74,0,74,0,74
"somewhat",1,74,0,74,0,74
"such",1,74,0,74,0,74
"sufficient",1,74,0,74,0,74
"that",1,74,0,29,45,29
"these",1,74,0,18,56,18
"this",1,74,0,16,58,16
"those",1,74,0,18,56,18
"the",1,74,0,73,1,73
"us_det",1,74,0,30,44,30
"we_det",1,74,0,22,52,22
"you_det",1,74,0,48,26,48
"what_det",1,74,0,74,0,74
"whatever_det",1,74,0,74,0,74
"which_rel_det",1,74,0,73,1,73
"which_int_det",1,74,0,58,16,58
"whichever_rel_det",1,74,0,73,1,73
"whichever_int_det",1,74,0,74,0,74
"zero_det",1,74,0,74,0,74
"various_det",1,74,0,74,0,74
"each_other",2,74,0,63,11,11
"one_another",2,74,0,63,11,11
"he",2,74,0,8,66,66
"him",2,74,0,0,74,74
"himself",2,74,0,1,73,73
"his",2,74,0,0,74,74
"she",2,74,0,8,66,66
"her_acc",2,74,0,0,74,74
"her_dep",2,74,0,10,64,64
"hers",2,74,0,0,74,74
"herself",2,74,0,1,73,73
"it_plain",2,74,0,2,72,72
"it_dum",2,74,0,36,38,38
"its",2,74,0,0,74,74
"itself",2,74,0,9,65,65
"I",2,74,0,8,66,66
"me",2,74,0,0,74,74
"mine",2,74,0,0,74,74
"my",2,74,0,10,64,64
"myself",2,74,0,0,74,74
"one_pron",2,74,0,18,56,56
"one_s",2,74,0,0,74,74
"oneself",2,74,0,41,33,33
"their_sing",2,74,0,10,64,64
"theirs_sing",2,74,0,0,74,74
"their_plur",2,74,0,10,64,64
"theirs_plur",2,74,0,0,74,74
"them_sing",2,74,0,0,74,74
"them_plur",2,74,0,0,74,74
"themself",2,74,0,7,67,67
"themselves",2,74,0,1,73,73
"they_sing",2,74,0,8,66,66
"they_plur",2,74,0,11,63,63
"we_pron",2,74,0,10,64,64
"us_pron",2,74,0,0,74,74
"our",2,74,0,10,64,64
"ours",2,74,0,0,74,74
"ourselves",2,74,0,0,74,74
"what_pron",2,74,0,70,4,4
"whatever_pron",2,74,0,74,0,0
"which_rel_pron",2,74,0,74,0,0
"who_int",2,74,0,26,48,48
"who_rel",2,74,0,34,40,40
"whom_int",2,74,0,0,74,74
"whom_rel",2,74,0,32,42,42
"whose_int",2,74,0,2,72,72
"whose_rel",2,74,0,46,28,28
"whoever",2,74,0,26,48,48
"whoever_s",2,74,0,34,40,40
"whosever",2,74,0,34,40,40
"whosoever",2,74,0,26,48,48
"whosoever_s",2,74,0,34,40,40
"you_pron_sing",2,74,0,0,74,74
"you_pron_plur",2,74,0,0,74,74
"your_sing",2,74,0,10,64,64
"yours_sing",2,74,0,0,74,74
"your_plur",2,74,0,10,64,64
"yours_plur",2,74,0,0,74,74
"yourself",2,74,0,0,74,74
"yourselves",2,74,0,0,74,74
"today",2,74,0,18,56,56
"tomorrow",2,74,0,18,56,56
"tonight",2,74,0,18,56,56
"yesterday",2,74,0,18,56,56
"there",2,74,0,74,0,0
